"Type","Site","Address","Postcode","longitude","latitude","lsoa_code","msoa_code","msoa","LTLA","IMD_2019_score","IMD_2019_rank","IMD_2019_decile","Rank_in_Sussex","Decile_in_Sussex","UTLA","Rank_in_UTLA","Decile_in_UTLA"
"Hospital Hub","Brighton and Sussex University Hosptials NHS Trust","Princess Royal Hospital, Lewes Road Haywards Heath","RH164EX",-0.090282,50.991095,"E01031756","E02006614","Mid Sussex 011","Mid Sussex",5.536,29984,"10% least deprived",894,"Decile 9","West Sussex",424,"Decile 9"
"Hospital Hub","Conquest Hospital, East Sussex Healthcare NHS Trust","Pharmacy Department, Conquest Hospital, The Ridge, St. Leonards-on-Sea,","TN377RD",0.56727,50.885167,"E01020986","E02004369","Hastings 002","Hastings",15.601,18355,"Decile 6",459,"Decile 5","East Sussex",174,"Decile 6"
"Hospital Hub","East Sussex Healthcare NHS Trust","Eastbourne District General Hospital, Kings Drive, Eastbourne","BN212UD",0.271108,50.786969,"E01020948","E02004363","Eastbourne 008","Eastbourne",10.777,23571,"Decile 8",668,"Decile 7","East Sussex",238,"Decile 8"
"Hospital Hub","Queen Victoria Hospital Foundation Trust (East Grinstead)","Holtye Road, East Grinstead","RH193DZ",-0.0029,51.135073,"E01031731","E02006604","Mid Sussex 001","Mid Sussex",19.867,14461,"Decile 5",303,"Decile 4","West Sussex",119,"Decile 3"
"Hospital Hub","Royal Sussex County Hospital (Brighton and Sussex University Hospitals NHS Trust)","Eastern Road, Brighton","BN25BE",-0.118177,50.819468,"E01016862","E02003521","Brighton and Hove 031","Brighton and Hove",14.188,19757,"Decile 7",525,"Decile 6","Brighton and Hove",100,"Decile 7"
"Hospital Hub","South East Coast Ambulance Service NHS Foundation Trust","Nexus House, 4 Gatwick Road, Crawley","RH109BG",-0.168947,51.132742,"E01031583","E02006578","Crawley 004","Crawley",22.983,12066,"Decile 4",233,"Decile 3","West Sussex",83,"Decile 2"
"Hospital Hub","Sussex Partnership Foundation NHS Trust","Woodside, The Drive, Hellingly, Hailsham, East Sussex","BN274ER",0.270122,50.889851,"E01021195","E02004420","Wealden 018","Wealden",20.069,14287,"Decile 5",294,"Decile 3","East Sussex",116,"Decile 4"
"Hospital Hub","Sussex Partnership Foundation NHS Trust","Mill View Hospital, Nevill Avenue, Hove","BN37HZ",-0.19071,50.842991,"E01016879","E02003503","Brighton and Hove 013","Brighton and Hove",28.964,8509,"Decile 3",131,"Decile 2","Brighton and Hove",37,"Decile 3"
"Hospital Hub","Sussex Partnership Foundation NHS Trust","Uckfield Community Hospital, Uckfield, East Sussex","TN225AW",0.105639,50.96595,"E01021221","E02004414","Wealden 012","Wealden",10.275,24170,"Decile 8",698,"Decile 7","East Sussex",249,"Decile 8"
"Hospital Hub","Western Sussex Hospitals NHS Foundation Trust","St Richard's Hospital, Spitalfield Lane, Chichester, West Sussex","PO196SE",-0.768027,50.843553,"E01031488","E02006568","Chichester 008","Chichester",16.223,17733,"Decile 6",433,"Decile 5","West Sussex",185,"Decile 4"
"Hospital Hub","Worthing & Southlands Hospital, Western Sussex Hospitals NHS Foundation Trust","NHS Trust Pharmacy Department, Park Avenue, Worthing,","BN112DH",-0.363429,50.816691,"E01031789","E02006631","Worthing 011","Worthing",27.568,9256,"Decile 3",163,"Decile 2","West Sussex",47,"10% most deprived"
"GP led service","Angmering Community Centre",NA,"BN164FU",-0.481134,50.82483,"E01031389","E02006546","Arun 005","Arun",6.053,29392,"Decile 9",872,"Decile 9","West Sussex",410,"Decile 9"
