LTLA_code,LTLA_name,Age_5_11,Age_12_15,Age_16_17,Age_18_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_and_over,Age_18_and_over,Age_16_and_over,Age_12_and_over,Age_5_and_over
E07000032,Amber Valley,"9,763","5,708","2,665","8,589","7,413","8,041","7,782","7,611","8,216","10,121","10,365","8,795","7,700","7,794","6,581","7,196","106,204","108,869","114,577","124,340"
E07000170,Ashfield,"11,151","6,110","2,876","9,241","8,069","9,290","8,683","8,126","7,826","9,773","9,609","8,107","6,716","6,561","5,758","6,551","104,310","107,186","113,296","124,447"
E07000171,Bassetlaw,"9,872","5,592","2,655","8,499","7,640","8,371","7,889","7,384","7,519","9,278","9,691","8,422","7,155","6,958","5,940","6,844","101,590","104,245","109,837","119,709"
E07000129,Blaby,"9,026","4,961","2,357","7,053","6,003","7,174","7,226","6,828","6,574","7,367","7,425","6,741","5,560","5,498","4,768","5,928","84,145","86,502","91,463","100,489"
E07000033,Bolsover,"6,521","3,697","1,833","5,767","5,549","5,967","5,504","4,725","5,100","6,592","6,467","5,467","4,611","4,281","3,800","4,062","67,892","69,725","73,422","79,943"
E07000136,Boston,"6,750","3,980","1,783","6,143","5,608","6,417","6,281","5,619","5,204","5,607","5,536","4,900","4,130","3,891","3,211","4,057","66,604","68,387","72,367","79,117"
E07000172,Broxtowe,"9,024","5,156","2,263","9,929","8,206","8,872","8,577","7,501","7,176","8,208","8,354","7,280","6,265","6,380","5,647","6,763","99,158","101,421","106,577","115,601"
E07000130,Charnwood,"14,432","8,137","3,911","23,342","13,755","13,761","13,031","11,971","11,096","12,701","12,336","11,121","9,490","9,224","7,736","9,285","158,849","162,760","170,897","185,329"
E07000034,Chesterfield,"8,110","4,719","2,183","7,352","6,587","7,087","6,775","6,675","6,437","7,938","8,292","7,244","6,272","5,859","5,027","5,884","87,429","89,612","94,331","102,441"
E06000015,Derby,"25,427","14,809","6,695","26,483","21,112","22,497","21,786","19,925","18,248","18,722","17,737","14,845","12,046","11,003","9,097","12,453","225,954","232,649","247,458","272,885"
E07000035,Derbyshire Dales,"4,797","3,116","1,646","4,731","3,389","3,570","3,573","3,900","4,491","5,936","6,623","5,968","5,180","5,335","4,628","5,447","62,771","64,417","67,533","72,330"
E07000137,East Lindsey,"9,730","6,132","2,915","9,238","7,271","7,860","7,291","7,105","7,579","10,565","12,272","12,291","11,559","11,748","10,252","11,237","126,268","129,183","135,315","145,045"
E07000036,Erewash,"9,198","5,215","2,541","8,133","7,195","8,054","7,510","7,263","7,319","8,839","8,870","7,574","6,184","6,117","5,410","6,293","94,761","97,302","102,517","111,715"
E07000173,Gedling,"9,781","5,638","2,623","7,838","7,031","8,336","7,959","7,963","7,634","8,962","9,044","7,893","6,678","6,773","5,614","7,009","98,734","101,357","106,995","116,776"
E07000131,Harborough,"7,589","4,861","2,373","6,883","5,211","5,832","5,908","6,263","6,537","7,682","7,818","6,763","5,761","5,608","5,036","5,787","81,089","83,462","88,323","95,912"
E07000037,High Peak,"6,919","4,253","2,033","6,378","5,137","6,114","5,868","5,726","5,744","7,360","7,939","7,078","5,690","5,464","4,517","5,028","78,043","80,076","84,329","91,248"
E07000132,Hinckley and Bosworth,"9,244","5,265","2,499","7,556","6,381","7,641","7,586","7,368","7,273","8,653","8,550","7,730","6,736","7,019","5,743","6,645","94,881","97,380","102,645","111,889"
E06000016,Leicester,"37,602","21,754","10,295","49,277","37,296","34,963","34,153","30,462","26,188","24,829","21,740","19,375","15,396","12,223","8,274","11,366","325,542","335,837","357,591","395,193"
E07000138,Lincoln,"7,884","4,418","2,054","16,047","9,417","8,803","7,893","6,882","5,928","6,309","6,312","5,401","4,329","3,985","3,232","4,146","88,684","90,738","95,156","103,040"
E07000174,Mansfield,"9,905","5,480","2,468","7,885","7,615","8,929","8,648","7,527","6,944","8,189","8,567","7,610","6,197","5,705","4,694","5,529","94,039","96,507","101,987","111,892"
E07000133,Melton,"4,019","2,402","1,122","3,368","2,769","3,126","2,939","3,158","3,132","4,130","4,522","3,838","3,395","3,381","2,766","3,169","43,693","44,815","47,217","51,236"
E07000175,Newark and Sherwood,"10,052","5,874","2,805","9,045","7,637","8,579","8,259","7,698","7,741","9,548","9,865","8,781","7,453","7,468","6,385","7,376","105,835","108,640","114,514","124,566"
E07000038,North East Derbyshire,"7,707","4,477","2,117","6,755","5,855","6,249","6,036","5,970","6,114","7,747","8,113","7,455","6,561","6,499","6,020","6,731","86,105","88,222","92,699","100,406"
E07000139,North Kesteven,"9,592","5,503","2,572","8,358","6,836","7,642","7,459","7,115","7,106","9,193","9,304","8,264","6,905","7,217","6,464","7,802","99,665","102,237","107,740","117,332"
E06000061,North Northamptonshire,"33,159","19,692","9,093","26,950","23,178","27,686","27,335","25,937","24,680","27,458","26,576","22,292","18,510","17,884","14,738","16,542","299,766","308,859","328,551","361,710"
E07000134,North West Leicestershire,"8,488","4,973","2,306","7,822","6,248","7,181","6,938","6,671","6,871","8,230","7,927","6,842","5,803","5,776","4,995","5,129","86,433","88,739","93,712","102,200"
E06000018,Nottingham,"30,177","16,671","7,584","64,990","34,385","33,407","29,087","23,726","20,125","20,097","18,874","15,758","11,900","9,890","7,751","10,557","300,547","308,131","324,802","354,979"
E07000135,Oadby and Wigston,"5,250","2,985","1,441","5,353","3,783","3,971","4,092","3,999","3,665","4,015","4,038","3,817","3,123","3,032","2,614","3,956","49,458","50,899","53,884","59,134"
E07000176,Rushcliffe,"10,143","6,097","2,799","9,264","6,721","7,462","7,944","8,465","8,258","8,917","8,920","7,869","6,540","6,577","5,877","7,529","100,343","103,142","109,239","119,382"
E06000017,Rutland,"2,817","2,252","1,399","3,148","2,167","2,464","2,327","2,507","2,417","2,981","2,994","2,822","2,486","2,688","2,388","3,000","34,389","35,788","38,040","40,857"
E07000039,South Derbyshire,"9,338","5,579","2,700","7,874","6,980","7,860","7,568","7,185","7,247","8,587","8,304","6,964","5,866","5,511","4,604","4,958","89,508","92,208","97,787","107,125"
