"Year","Area_code","Type","Age_65_plus","All_ages"
2020,"E06000001","Unitary Authority",18371,93836
2020,"E06000002","Unitary Authority",23214,141285
2020,"E06000003","Unitary Authority",31288,137228
2020,"E06000004","Unitary Authority",36948,197419
2020,"E06000005","Unitary Authority",22131,107402
2020,"E06000006","Unitary Authority",24105,129759
2020,"E06000007","Unitary Authority",40052,209397
2020,"E06000008","Unitary Authority",21986,150030
2020,"E06000009","Unitary Authority",28433,138381
2020,"E06000010","Unitary Authority",39437,259126
2020,"E06000011","Unitary Authority",90631,343201
2020,"E06000012","Unitary Authority",33258,159364
2020,"E06000013","Unitary Authority",37294,172748
2020,"E06000014","Unitary Authority",38874,211012
2020,"E06000015","Unitary Authority",42361,256814
2020,"E06000016","Unitary Authority",43602,354036
2020,"E06000017","Unitary Authority",10345,40476
2020,"E06000018","Unitary Authority",39125,337098
2020,"E06000019","Unitary Authority",48458,193615
2020,"E06000020","Unitary Authority",31739,181322
2020,"E06000021","Unitary Authority",44414,256622
2020,"E06000022","Unitary Authority",36991,196357
2020,"E06000023","Unitary Authority",60274,465866
2020,"E06000024","Unitary Authority",52003,215574
2020,"E06000025","Unitary Authority",54409,287816
2020,"E06000026","Unitary Authority",48960,262839
2020,"E06000027","Unitary Authority",37143,136218
2020,"E06000030","Unitary Authority",36873,222881
2020,"E06000031","Unitary Authority",30493,202626
2020,"E06000032","Unitary Authority",26972,213528
2020,"E06000033","Unitary Authority",35661,182773
2020,"E06000034","Unitary Authority",24098,175531
2020,"E06000035","Unitary Authority",45273,279142
2020,"E06000036","Unitary Authority",18616,124165
2020,"E06000037","Unitary Authority",31106,158465
2020,"E06000038","Unitary Authority",20335,160337
2020,"E06000039","Unitary Authority",15557,149577
2020,"E06000040","Unitary Authority",28514,151273
2020,"E06000041","Unitary Authority",30571,173945
2020,"E06000042","Unitary Authority",39017,270203
2020,"E06000043","Unitary Authority",39017,291738
2020,"E06000044","Unitary Authority",30568,214692
2020,"E06000045","Unitary Authority",33978,252872
2020,"E06000046","Unitary Authority",40858,142296
2020,"E06000047","Unitary Authority",111582,533149
2020,"E06000049","Unitary Authority",89148,386667
2020,"E06000050","Unitary Authority",74915,343823
2020,"E06000051","Unitary Authority",81216,325415
2020,"E06000052","Unitary Authority",144840,573299
2020,"E06000053","Unitary Authority",617,2226
2020,"E06000054","Unitary Authority",110358,504070
