Area_Code,Area_Name,Week_number,Setting,Deaths
E07000223,Adur,1,Care home,5
E07000223,Adur,1,Elsewhere,0
E07000223,Adur,1,Home,3
E07000223,Adur,1,Hospice,1
E07000223,Adur,1,Hospital,7
E07000223,Adur,1,Other communal establishment,0
E07000223,Adur,2,Care home,6
E07000223,Adur,2,Elsewhere,1
E07000223,Adur,2,Home,4
E07000223,Adur,2,Hospice,1
E07000223,Adur,2,Hospital,9
E07000223,Adur,2,Other communal establishment,0
E07000223,Adur,3,Care home,6
E07000223,Adur,3,Elsewhere,0
E07000223,Adur,3,Home,3
E07000223,Adur,3,Hospice,1
E07000223,Adur,3,Hospital,11
E07000223,Adur,3,Other communal establishment,0
E07000223,Adur,4,Care home,5
E07000223,Adur,4,Elsewhere,0
E07000223,Adur,4,Home,4
E07000223,Adur,4,Hospice,1
E07000223,Adur,4,Hospital,7
E07000223,Adur,4,Other communal establishment,0
E07000223,Adur,5,Care home,6
E07000223,Adur,5,Elsewhere,0
E07000223,Adur,5,Home,3
E07000223,Adur,5,Hospice,1
E07000223,Adur,5,Hospital,5
E07000223,Adur,5,Other communal establishment,0
E07000223,Adur,6,Care home,7
E07000223,Adur,6,Elsewhere,0
E07000223,Adur,6,Home,3
E07000223,Adur,6,Hospice,1
E07000223,Adur,6,Hospital,6
E07000223,Adur,6,Other communal establishment,0
E07000223,Adur,7,Care home,2
E07000223,Adur,7,Elsewhere,0
E07000223,Adur,7,Home,4
E07000223,Adur,7,Hospice,1
E07000223,Adur,7,Hospital,7
E07000223,Adur,7,Other communal establishment,0
E07000223,Adur,8,Care home,4
E07000223,Adur,8,Elsewhere,0
E07000223,Adur,8,Home,4
E07000223,Adur,8,Hospice,1
E07000223,Adur,8,Hospital,8
E07000223,Adur,8,Other communal establishment,0
E07000223,Adur,9,Care home,4
E07000223,Adur,9,Elsewhere,0
E07000223,Adur,9,Home,3
E07000223,Adur,9,Hospice,2
E07000223,Adur,9,Hospital,5
E07000223,Adur,9,Other communal establishment,0
E07000223,Adur,10,Care home,3
E07000223,Adur,10,Elsewhere,1
E07000223,Adur,10,Home,4
E07000223,Adur,10,Hospice,1
E07000223,Adur,10,Hospital,7
E07000223,Adur,10,Other communal establishment,0
E07000223,Adur,11,Care home,6
E07000223,Adur,11,Elsewhere,0
E07000223,Adur,11,Home,3
E07000223,Adur,11,Hospice,1
E07000223,Adur,11,Hospital,6
E07000223,Adur,11,Other communal establishment,0
E07000223,Adur,12,Care home,4
E07000223,Adur,12,Elsewhere,0
E07000223,Adur,12,Home,3
E07000223,Adur,12,Hospice,1
E07000223,Adur,12,Hospital,6
E07000223,Adur,12,Other communal establishment,0
E07000223,Adur,13,Care home,4
E07000223,Adur,13,Elsewhere,0
E07000223,Adur,13,Home,5
E07000223,Adur,13,Hospice,2
E07000223,Adur,13,Hospital,7
E07000223,Adur,13,Other communal establishment,0
E07000223,Adur,14,Care home,4
E07000223,Adur,14,Elsewhere,0
E07000223,Adur,14,Home,3
E07000223,Adur,14,Hospice,1
E07000223,Adur,14,Hospital,7
E07000223,Adur,14,Other communal establishment,0
E07000223,Adur,15,Care home,4
E07000223,Adur,15,Elsewhere,0
E07000223,Adur,15,Home,3
E07000223,Adur,15,Hospice,1
E07000223,Adur,15,Hospital,6
E07000223,Adur,15,Other communal establishment,0
E07000223,Adur,16,Care home,4
E07000223,Adur,16,Elsewhere,0
E07000223,Adur,16,Home,4
E07000223,Adur,16,Hospice,1
E07000223,Adur,16,Hospital,6
E07000223,Adur,16,Other communal establishment,0
E07000223,Adur,17,Care home,3
E07000223,Adur,17,Elsewhere,0
E07000223,Adur,17,Home,3
E07000223,Adur,17,Hospice,1
E07000223,Adur,17,Hospital,5
E07000223,Adur,17,Other communal establishment,0
E07000223,Adur,18,Care home,3
E07000223,Adur,18,Elsewhere,0
E07000223,Adur,18,Home,1
E07000223,Adur,18,Hospice,2
E07000223,Adur,18,Hospital,4
E07000223,Adur,18,Other communal establishment,0
E07000223,Adur,19,Care home,3
E07000223,Adur,19,Elsewhere,0
E07000223,Adur,19,Home,3
E07000223,Adur,19,Hospice,1
E07000223,Adur,19,Hospital,5
E07000223,Adur,19,Other communal establishment,0
E07000223,Adur,20,Care home,3
E07000223,Adur,20,Elsewhere,0
E07000223,Adur,20,Home,3
E07000223,Adur,20,Hospice,1
E07000223,Adur,20,Hospital,5
E07000223,Adur,20,Other communal establishment,0
E07000223,Adur,21,Care home,3
E07000223,Adur,21,Elsewhere,0
E07000223,Adur,21,Home,2
E07000223,Adur,21,Hospice,1
E07000223,Adur,21,Hospital,6
E07000223,Adur,21,Other communal establishment,0
E07000223,Adur,22,Care home,2
E07000223,Adur,22,Elsewhere,0
E07000223,Adur,22,Home,3
E07000223,Adur,22,Hospice,2
E07000223,Adur,22,Hospital,5
E07000223,Adur,22,Other communal establishment,0
E07000223,Adur,23,Care home,3
E07000223,Adur,23,Elsewhere,1
E07000223,Adur,23,Home,2
E07000223,Adur,23,Hospice,1
E07000223,Adur,23,Hospital,5
E07000223,Adur,23,Other communal establishment,0
E07000223,Adur,24,Care home,2
E07000223,Adur,24,Elsewhere,0
E07000223,Adur,24,Home,3
E07000223,Adur,24,Hospice,1
E07000223,Adur,24,Hospital,6
E07000223,Adur,24,Other communal establishment,0
E07000223,Adur,25,Care home,2
E07000223,Adur,25,Elsewhere,0
E07000223,Adur,25,Home,2
E07000223,Adur,25,Hospice,1
E07000223,Adur,25,Hospital,6
E07000223,Adur,25,Other communal establishment,0
E07000223,Adur,26,Care home,3
E07000223,Adur,26,Elsewhere,0
E07000223,Adur,26,Home,3
E07000223,Adur,26,Hospice,1
E07000223,Adur,26,Hospital,6
E07000223,Adur,26,Other communal establishment,0
E07000223,Adur,27,Care home,4
E07000223,Adur,27,Elsewhere,0
E07000223,Adur,27,Home,5
E07000223,Adur,27,Hospice,1
E07000223,Adur,27,Hospital,2
E07000223,Adur,27,Other communal establishment,0
E07000223,Adur,28,Care home,1
E07000223,Adur,28,Elsewhere,0
E07000223,Adur,28,Home,3
E07000223,Adur,28,Hospice,2
E07000223,Adur,28,Hospital,6
E07000223,Adur,28,Other communal establishment,0
E07000223,Adur,29,Care home,2
E07000223,Adur,29,Elsewhere,0
E07000223,Adur,29,Home,5
E07000223,Adur,29,Hospice,1
E07000223,Adur,29,Hospital,5
E07000223,Adur,29,Other communal establishment,0
E07000223,Adur,30,Care home,2
E07000223,Adur,30,Elsewhere,0
E07000223,Adur,30,Home,2
E07000223,Adur,30,Hospice,2
E07000223,Adur,30,Hospital,5
E07000223,Adur,30,Other communal establishment,0
E07000223,Adur,31,Care home,3
E07000223,Adur,31,Elsewhere,0
E07000223,Adur,31,Home,2
E07000223,Adur,31,Hospice,1
E07000223,Adur,31,Hospital,4
E07000223,Adur,31,Other communal establishment,0
E07000223,Adur,32,Care home,3
E07000223,Adur,32,Elsewhere,0
E07000223,Adur,32,Home,4
E07000223,Adur,32,Hospice,1
E07000223,Adur,32,Hospital,7
E07000223,Adur,32,Other communal establishment,0
E07000223,Adur,33,Care home,4
E07000223,Adur,33,Elsewhere,0
E07000223,Adur,33,Home,2
E07000223,Adur,33,Hospice,1
E07000223,Adur,33,Hospital,5
E07000223,Adur,33,Other communal establishment,0
E07000223,Adur,34,Care home,3
E07000223,Adur,34,Elsewhere,0
E07000223,Adur,34,Home,4
E07000223,Adur,34,Hospice,1
E07000223,Adur,34,Hospital,4
E07000223,Adur,34,Other communal establishment,0
E07000223,Adur,35,Care home,2
E07000223,Adur,35,Elsewhere,0
E07000223,Adur,35,Home,3
E07000223,Adur,35,Hospice,1
E07000223,Adur,35,Hospital,5
E07000223,Adur,35,Other communal establishment,0
E07000223,Adur,36,Care home,4
E07000223,Adur,36,Elsewhere,0
E07000223,Adur,36,Home,2
E07000223,Adur,36,Hospice,0
E07000223,Adur,36,Hospital,6
E07000223,Adur,36,Other communal establishment,0
E07000223,Adur,37,Care home,3
E07000223,Adur,37,Elsewhere,0
E07000223,Adur,37,Home,2
E07000223,Adur,37,Hospice,2
E07000223,Adur,37,Hospital,5
E07000223,Adur,37,Other communal establishment,0
E07000223,Adur,38,Care home,3
E07000223,Adur,38,Elsewhere,0
E07000223,Adur,38,Home,4
E07000223,Adur,38,Hospice,1
E07000223,Adur,38,Hospital,5
E07000223,Adur,38,Other communal establishment,0
E07000223,Adur,39,Care home,3
E07000223,Adur,39,Elsewhere,0
E07000223,Adur,39,Home,3
E07000223,Adur,39,Hospice,1
E07000223,Adur,39,Hospital,4
E07000223,Adur,39,Other communal establishment,0
E07000223,Adur,40,Care home,4
E07000223,Adur,40,Elsewhere,0
E07000223,Adur,40,Home,4
E07000223,Adur,40,Hospice,1
E07000223,Adur,40,Hospital,5
E07000223,Adur,40,Other communal establishment,0
E07000223,Adur,41,Care home,3
E07000223,Adur,41,Elsewhere,0
E07000223,Adur,41,Home,2
E07000223,Adur,41,Hospice,2
E07000223,Adur,41,Hospital,5
E07000223,Adur,41,Other communal establishment,0
E07000223,Adur,42,Care home,4
E07000223,Adur,42,Elsewhere,0
E07000223,Adur,42,Home,2
E07000223,Adur,42,Hospice,1
E07000223,Adur,42,Hospital,7
E07000223,Adur,42,Other communal establishment,0
E07000223,Adur,43,Care home,3
E07000223,Adur,43,Elsewhere,0
E07000223,Adur,43,Home,1
E07000223,Adur,43,Hospice,2
E07000223,Adur,43,Hospital,5
E07000223,Adur,43,Other communal establishment,0
E07000223,Adur,44,Care home,4
E07000223,Adur,44,Elsewhere,0
E07000223,Adur,44,Home,2
E07000223,Adur,44,Hospice,2
E07000223,Adur,44,Hospital,8
E07000223,Adur,44,Other communal establishment,0
E07000223,Adur,45,Care home,3
E07000223,Adur,45,Elsewhere,0
E07000223,Adur,45,Home,3
E07000223,Adur,45,Hospice,2
E07000223,Adur,45,Hospital,5
E07000223,Adur,45,Other communal establishment,0
E07000223,Adur,46,Care home,3
E07000223,Adur,46,Elsewhere,0
E07000223,Adur,46,Home,2
E07000223,Adur,46,Hospice,1
E07000223,Adur,46,Hospital,5
E07000223,Adur,46,Other communal establishment,0
E07000223,Adur,47,Care home,3
E07000223,Adur,47,Elsewhere,0
E07000223,Adur,47,Home,4
E07000223,Adur,47,Hospice,2
E07000223,Adur,47,Hospital,5
E07000223,Adur,47,Other communal establishment,0
E07000223,Adur,48,Care home,2
E07000223,Adur,48,Elsewhere,0
E07000223,Adur,48,Home,4
E07000223,Adur,48,Hospice,1
E07000223,Adur,48,Hospital,6
E07000223,Adur,48,Other communal establishment,0
E07000223,Adur,49,Care home,4
E07000223,Adur,49,Elsewhere,0
E07000223,Adur,49,Home,3
E07000223,Adur,49,Hospice,1
E07000223,Adur,49,Hospital,4
E07000223,Adur,49,Other communal establishment,0
E07000223,Adur,50,Care home,4
E07000223,Adur,50,Elsewhere,0
E07000223,Adur,50,Home,5
E07000223,Adur,50,Hospice,1
E07000223,Adur,50,Hospital,7
E07000223,Adur,50,Other communal establishment,0
E07000223,Adur,51,Care home,5
E07000223,Adur,51,Elsewhere,1
E07000223,Adur,51,Home,5
E07000223,Adur,51,Hospice,1
E07000223,Adur,51,Hospital,6
E07000223,Adur,51,Other communal establishment,0
E07000223,Adur,52,Care home,3
E07000223,Adur,52,Elsewhere,0
E07000223,Adur,52,Home,2
E07000223,Adur,52,Hospice,1
E07000223,Adur,52,Hospital,3
E07000223,Adur,52,Other communal establishment,0
E07000224,Arun,1,Care home,16
E07000224,Arun,1,Elsewhere,1
E07000224,Arun,1,Home,9
E07000224,Arun,1,Hospice,5
E07000224,Arun,1,Hospital,22
E07000224,Arun,1,Other communal establishment,0
E07000224,Arun,2,Care home,19
E07000224,Arun,2,Elsewhere,0
E07000224,Arun,2,Home,13
E07000224,Arun,2,Hospice,4
E07000224,Arun,2,Hospital,29
E07000224,Arun,2,Other communal establishment,0
E07000224,Arun,3,Care home,21
E07000224,Arun,3,Elsewhere,1
E07000224,Arun,3,Home,12
E07000224,Arun,3,Hospice,4
E07000224,Arun,3,Hospital,23
E07000224,Arun,3,Other communal establishment,0
E07000224,Arun,4,Care home,19
E07000224,Arun,4,Elsewhere,1
E07000224,Arun,4,Home,11
E07000224,Arun,4,Hospice,6
E07000224,Arun,4,Hospital,22
E07000224,Arun,4,Other communal establishment,0
E07000224,Arun,5,Care home,16
E07000224,Arun,5,Elsewhere,1
E07000224,Arun,5,Home,11
E07000224,Arun,5,Hospice,4
E07000224,Arun,5,Hospital,19
E07000224,Arun,5,Other communal establishment,0
E07000224,Arun,6,Care home,15
E07000224,Arun,6,Elsewhere,1
E07000224,Arun,6,Home,10
E07000224,Arun,6,Hospice,3
E07000224,Arun,6,Hospital,20
E07000224,Arun,6,Other communal establishment,0
E07000224,Arun,7,Care home,11
E07000224,Arun,7,Elsewhere,0
E07000224,Arun,7,Home,8
E07000224,Arun,7,Hospice,6
E07000224,Arun,7,Hospital,22
E07000224,Arun,7,Other communal establishment,0
E07000224,Arun,8,Care home,15
E07000224,Arun,8,Elsewhere,0
E07000224,Arun,8,Home,9
E07000224,Arun,8,Hospice,4
E07000224,Arun,8,Hospital,21
E07000224,Arun,8,Other communal establishment,0
E07000224,Arun,9,Care home,15
E07000224,Arun,9,Elsewhere,1
E07000224,Arun,9,Home,12
E07000224,Arun,9,Hospice,4
E07000224,Arun,9,Hospital,20
E07000224,Arun,9,Other communal establishment,0
E07000224,Arun,10,Care home,12
E07000224,Arun,10,Elsewhere,1
E07000224,Arun,10,Home,9
E07000224,Arun,10,Hospice,4
E07000224,Arun,10,Hospital,19
E07000224,Arun,10,Other communal establishment,0
E07000224,Arun,11,Care home,14
E07000224,Arun,11,Elsewhere,1
E07000224,Arun,11,Home,8
E07000224,Arun,11,Hospice,2
E07000224,Arun,11,Hospital,18
E07000224,Arun,11,Other communal establishment,0
E07000224,Arun,12,Care home,12
E07000224,Arun,12,Elsewhere,1
E07000224,Arun,12,Home,9
E07000224,Arun,12,Hospice,3
E07000224,Arun,12,Hospital,21
E07000224,Arun,12,Other communal establishment,0
E07000224,Arun,13,Care home,11
E07000224,Arun,13,Elsewhere,1
E07000224,Arun,13,Home,8
E07000224,Arun,13,Hospice,3
E07000224,Arun,13,Hospital,19
E07000224,Arun,13,Other communal establishment,0
E07000224,Arun,14,Care home,11
E07000224,Arun,14,Elsewhere,0
E07000224,Arun,14,Home,8
E07000224,Arun,14,Hospice,4
E07000224,Arun,14,Hospital,18
E07000224,Arun,14,Other communal establishment,0
E07000224,Arun,15,Care home,13
E07000224,Arun,15,Elsewhere,0
E07000224,Arun,15,Home,9
E07000224,Arun,15,Hospice,3
E07000224,Arun,15,Hospital,18
E07000224,Arun,15,Other communal establishment,0
E07000224,Arun,16,Care home,10
E07000224,Arun,16,Elsewhere,0
E07000224,Arun,16,Home,10
E07000224,Arun,16,Hospice,5
E07000224,Arun,16,Hospital,16
E07000224,Arun,16,Other communal establishment,0
E07000224,Arun,17,Care home,13
E07000224,Arun,17,Elsewhere,1
E07000224,Arun,17,Home,8
E07000224,Arun,17,Hospice,3
E07000224,Arun,17,Hospital,14
E07000224,Arun,17,Other communal establishment,0
E07000224,Arun,18,Care home,12
E07000224,Arun,18,Elsewhere,0
E07000224,Arun,18,Home,7
E07000224,Arun,18,Hospice,2
E07000224,Arun,18,Hospital,17
E07000224,Arun,18,Other communal establishment,0
E07000224,Arun,19,Care home,11
E07000224,Arun,19,Elsewhere,0
E07000224,Arun,19,Home,8
E07000224,Arun,19,Hospice,4
E07000224,Arun,19,Hospital,14
E07000224,Arun,19,Other communal establishment,0
E07000224,Arun,20,Care home,12
E07000224,Arun,20,Elsewhere,0
E07000224,Arun,20,Home,9
E07000224,Arun,20,Hospice,3
E07000224,Arun,20,Hospital,14
E07000224,Arun,20,Other communal establishment,0
E07000224,Arun,21,Care home,11
E07000224,Arun,21,Elsewhere,0
E07000224,Arun,21,Home,9
E07000224,Arun,21,Hospice,4
E07000224,Arun,21,Hospital,18
E07000224,Arun,21,Other communal establishment,0
E07000224,Arun,22,Care home,7
E07000224,Arun,22,Elsewhere,0
E07000224,Arun,22,Home,7
E07000224,Arun,22,Hospice,4
E07000224,Arun,22,Hospital,14
E07000224,Arun,22,Other communal establishment,0
E07000224,Arun,23,Care home,11
E07000224,Arun,23,Elsewhere,0
E07000224,Arun,23,Home,10
E07000224,Arun,23,Hospice,3
E07000224,Arun,23,Hospital,18
E07000224,Arun,23,Other communal establishment,0
E07000224,Arun,24,Care home,10
E07000224,Arun,24,Elsewhere,1
E07000224,Arun,24,Home,11
E07000224,Arun,24,Hospice,5
E07000224,Arun,24,Hospital,15
E07000224,Arun,24,Other communal establishment,0
E07000224,Arun,25,Care home,12
E07000224,Arun,25,Elsewhere,1
E07000224,Arun,25,Home,10
E07000224,Arun,25,Hospice,5
E07000224,Arun,25,Hospital,18
E07000224,Arun,25,Other communal establishment,0
E07000224,Arun,26,Care home,8
E07000224,Arun,26,Elsewhere,0
E07000224,Arun,26,Home,10
E07000224,Arun,26,Hospice,5
E07000224,Arun,26,Hospital,16
E07000224,Arun,26,Other communal establishment,0
E07000224,Arun,27,Care home,14
E07000224,Arun,27,Elsewhere,0
E07000224,Arun,27,Home,8
E07000224,Arun,27,Hospice,3
E07000224,Arun,27,Hospital,11
E07000224,Arun,27,Other communal establishment,0
E07000224,Arun,28,Care home,11
E07000224,Arun,28,Elsewhere,1
E07000224,Arun,28,Home,9
E07000224,Arun,28,Hospice,5
E07000224,Arun,28,Hospital,17
E07000224,Arun,28,Other communal establishment,0
E07000224,Arun,29,Care home,10
E07000224,Arun,29,Elsewhere,0
E07000224,Arun,29,Home,7
E07000224,Arun,29,Hospice,5
E07000224,Arun,29,Hospital,12
E07000224,Arun,29,Other communal establishment,0
E07000224,Arun,30,Care home,13
E07000224,Arun,30,Elsewhere,0
E07000224,Arun,30,Home,9
E07000224,Arun,30,Hospice,2
E07000224,Arun,30,Hospital,16
E07000224,Arun,30,Other communal establishment,0
E07000224,Arun,31,Care home,8
E07000224,Arun,31,Elsewhere,1
E07000224,Arun,31,Home,7
E07000224,Arun,31,Hospice,3
